id,predicted
13518783164498355150900635905895481162,78813.54541795424
299896161723793383246777788797566040330,75187.94071810898
316180649972302128246133616457018378621,245036.26040145953
222527157104148385909188217274642813298,90582.86205365602
160460343059850745858546502614838368036,96272.9894378412
262727202368986244371977784343233436999,69504.55402507832
254093764205800086330999281077926851120,137123.6691549341
26118184613036116787803832945215674478,225906.5428259296
216524630140335566712794225427064313,225875.41868580587
185631381169816366226494379020452029389,311512.44281232276
193325654448132563278364141820152041311,137366.50965286238
55430829679256880238551444522175018156,106084.31132507334
215317645068876070368783807654911699750,252954.447859469
81597227204971961501733390453078413740,183932.51989950275
332523842755767369964829329030378044388,122379.33965179739
115343777354602647202140618045743635008,196960.26388937223
20757170217235469489036110086071917277,88874.0414139849
185526399598537813925895625787601650168,104233.90763169291
60658042813489826886245400795986219027,92423.59955065847
252469656136469704862465423825396909961,316420.00634327554
286704706212186527658783613441315754259,131179.67880652144
104788498292328609834480593297039083847,71915.37639401222
83091551517048057678460117003997132666,250464.96308609407
253819240599250454081144283787356606601,76904.89644960716
47552100267769170589122325402191982347,151031.34621332693
143932540867090135955180920741784357244,195439.37469351979
196345985565471044954698780677909306202,229872.28187946294
244792708737468723430839923035345593106,71314.76033811625
84589940414664494482357035061818012137,86061.00753462089
49959439507026713714422386346459644032,65667.20634136736
281026519311657672970881937258693325762,65163.80298056266
93074564150014753673961081882123830374,178752.16897338873
26728401390792884431172378844166640182,350235.3457245575
72487946181948797581370306862646034491,111470.89548744666
228864048115975611203958077134700148633,128129.64193666194
112454259487642510247400972640243226784,161837.47802103235
222663295482952330188872827964862490542,57391.91439819793
174300102534868734265445704595501072047,81451.41026006051
65616068149477861830943576277231644996,161429.95321213303
12512429268260634755522419284910697215,364079.1534893869
336344009530167442733355949279054127993,58091.5289818568
79522286518792634854353998912967788405,82350.61203936477
82689802293775881487902613650793199776,148583.1658932
145087209205382180995284342956932775590,87933.38119902229
148379644220249469735831915363404593938,72017.11454804063
81783415914068556337040372580510327746,107103.68196042407
17392005129747944984443660408573750669,81213.74373495436
221003909581330971303914733428302885356,217205.41158806963
32270994133870633595828638411924379558,123741.17453156663
44743423162474884539743903954385097896,155648.01399205264
256739781367016694034266877805520625472,243767.13593437214
102069821313289958956134954896763391138,156626.1855852368
295239204594155572903470420706758961711,80863.66162900286
217043924033496343963491521400562422856,94890.6762888176
230630223901851276472648163541398202700,79515.3978378711
228794583325189840821498523768389390979,109589.8529510471
226883211751919793077312253417502568887,122876.48133034562
178727794896076301413017290746899811351,72028.56550789284
233324434070255280697734700180958891999,122228.24915500605
307587965035124177469706843302286678852,88946.8276529593
147918433942232310306879997092064646229,72084.96486664159
322862357217576382174561616320866894896,182519.80371398295
239523402888574028389406143855331971634,355545.4804108417
113509983214540261664688743850173663995,73933.7455382424
109891169875096641331353504149265117244,188125.79365684217
14047284765259674200352849951505593080,124431.47975470399
185048785858081984334746723407963750558,143597.8113669319
271868823659695867806389462405507434039,146002.66347803336
234266752075173490649523075655294035700,86092.03688522613
135193714861901808768224625797727405125,77011.25659919958
65383514239248595231552479759479421653,128432.6961439806
263071556455718053803505933844459615897,102180.45578861472
286319605986498380547161295324785273852,136039.59723908865
18156444762146185587945140921021289232,123238.25212809224
132399590521100913284690334248594447552,73929.66920590147
103484450878268999171337512911053865440,312831.48240914894
3912270241651523146374566983699340012,300499.29769675655
289442719100949424990356122406061188257,68003.27221734234
78107569099680024366542029001316825040,85800.65910738733
35630579392702895703343792092821020757,134981.19018193454
180495442974534219664033650975071179678,105748.17709090943
310808003231123687601982759789167595573,84664.85216686071
281412885789869246852489114984059535931,87456.7750133718
115834922999693545296191213987693964898,99238.61801212924
5731801982113473737231393645963779999,115082.13249646156
256716164818036322373140286568690396129,153059.37169522178
287091925155434474451326927701130603179,146516.65858856976
34260218896401614964439670738816901101,70560.43781996434
129711525134942617432200032446355408594,75369.87107473947
63813447393601008165654825811986411111,78189.72383439093
233957718806307342910872106898233148735,133335.83865754385
138508589382193076883186189654019084427,109812.00133946688
171762617476835661595108367117122969376,77926.47129841984
7122736344425113322294078330615663312,64912.46691567094
